method,dataset,disjointness,times,NDKL,rbo,wig_rbo,fairness
BORDA,disjoint-0,0,0.003307581,0.473859773,1,1,EQUAL
RAPF,disjoint-0,0,0.028076315,0.302313118,0.936364278,1,EQUAL
EPIRA,disjoint-0,0,1.835203981,0.41361231,0.98638968,1,EQUAL
WISE,disjoint-0,0,0.071213484,0.14564981,0.806885224,1,EQUAL
PRE-EG,disjoint-0,0,0.014770651,0.471682364,0.672305205,0.667282713,EQUAL
POST-EG,disjoint-0,0,0,0.471682364,0.672305205,0.667282713,EQUAL
PRE-FQ,disjoint-0,0,3.848426342,0.473859773,0.999690839,0.999803796,EQUAL
POST-FQ,disjoint-0,0,0.408536768,0.473859773,1,1,EQUAL
BORDA,disjoint-0.2,0.2,0.000501871,0.439721076,0.817819205,1,EQUAL
RAPF,disjoint-0.2,0.2,0.032146072,0.350481642,0.782458466,0.849532597,EQUAL
WISE,disjoint-0.2,0.2,0.175458813,0.22187581,0.715250722,0.998933614,EQUAL
PRE-EG,disjoint-0.2,0.2,0.015667486,0.430295811,0.638824188,0.821749077,EQUAL
POST-EG,disjoint-0.2,0.2,0.004023361,0.46638435,0.423803724,0.673830537,EQUAL
PRE-FQ,disjoint-0.2,0.2,3.961518908,0.439692539,0.817819205,0.999919565,EQUAL
POST-FQ,disjoint-0.2,0.2,3.309868813,0.439764206,0.817819205,0.996527423,EQUAL
BORDA,disjoint-0.4,0.4,0,0.475867478,0.63651753,1,EQUAL
RAPF,disjoint-0.4,0.4,0.037130928,0.392639349,0.618690224,0.702642707,EQUAL
WISE,disjoint-0.4,0.4,0.552757311,0.197508814,0.613939447,0.998140662,EQUAL
PRE-EG,disjoint-0.4,0.4,0.012462282,0.432613686,0.530040835,0.753025603,EQUAL
POST-EG,disjoint-0.4,0.4,0.011547947,0.453841121,0.335512463,0.636843113,EQUAL
PRE-FQ,disjoint-0.4,0.4,3.806110668,0.473773828,0.63651753,0.992188137,EQUAL
POST-FQ,disjoint-0.4,0.4,9.41509943,0.476507861,0.63651753,0.993712169,EQUAL
BORDA,disjoint-0.6,0.6,0.004627371,0.49122954,0.485339041,1,EQUAL
RAPF,disjoint-0.6,0.6,0.031771517,0.379807915,0.461672529,0.49362998,EQUAL
WISE,disjoint-0.6,0.6,0.906113958,0.169886847,0.477087108,0.998184127,EQUAL
PRE-EG,disjoint-0.6,0.6,0.011467791,0.411778513,0.420419068,0.712577004,EQUAL
POST-EG,disjoint-0.6,0.6,0.013337564,0.4080175,0.240561979,0.635101565,EQUAL
PRE-FQ,disjoint-0.6,0.6,3.839935303,0.474909257,0.485339041,0.954061236,EQUAL
POST-FQ,disjoint-0.6,0.6,18.88395071,0.491718989,0.485339041,0.990599351,EQUAL
BORDA,disjoint-0.8,0.8,0.004706573,0.474575418,0.300822756,1,EQUAL
RAPF,disjoint-0.8,0.8,0.028669977,0.31990239,0.285454582,0.285480458,EQUAL
WISE,disjoint-0.8,0.8,1.474533081,0.17251114,0.293515094,0.998407363,EQUAL
PRE-EG,disjoint-0.8,0.8,0.011057806,0.40249274,0.264915345,0.660879386,EQUAL
POST-EG,disjoint-0.8,0.8,0.018536949,0.411133949,0.168912741,0.628760767,EQUAL
PRE-FQ,disjoint-0.8,0.8,4.157007694,0.472364501,0.300822756,0.990756548,EQUAL
POST-FQ,disjoint-0.8,0.8,34.86879716,0.475556776,0.300822756,0.990207278,EQUAL
BORDA,disjoint-1,1,0.003275967,0.512865478,0.1,1,EQUAL
RAPF,disjoint-1,1,0.033185482,0.308752074,0.092325968,0.105014072,EQUAL
WISE,disjoint-1,1,2.521757269,0.21251807,0.073034843,0.998240031,EQUAL
PRE-EG,disjoint-1,1,0.017560148,0.425957126,0.074958193,0.610035548,EQUAL
POST-EG,disjoint-1,1,0.01660347,0.438441554,0.069841316,0.629397623,EQUAL
PRE-FQ,disjoint-1,1,3.968722486,0.499288727,0.1,0.947375922,EQUAL
POST-FQ,disjoint-1,1,52.7442874,0.513687969,0.1,0.981747971,EQUAL
